id,name,current_price,price_change_24h,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
superfarm,SuperVerse,0.74048,-0.058900107906203925,-7.36823,0.804512,0.724593,4.74,0.070397,01-08-25_14-13-00
gnosis,Gnosis,123.98,-6.2618034892024355,-4.80773,130.24,123.04,644.2,6.88,01-08-25_14-13-00
global-dollar,Global Dollar,0.999528,-0.000215986984300587,-0.0216,1.0,0.999511,1.65,0.907561,01-08-25_14-13-00
akash-network,Akash Network,1.19,-0.06268125306908079,-5.01414,1.25,1.16,8.07,0.164994,01-08-25_14-13-00
terra-luna,Terra Luna Classic,5.823e-05,-2.057095063994e-06,-3.41238,6.099e-05,5.712e-05,119.18,9.99967e-07,01-08-25_14-13-00
reserve-protocol-eth-plus,ETHPlus,3854.01,-159.88899517576692,-3.98338,4013.9,3797.06,4194.11,1461.53,01-08-25_14-13-00
staked-frax-ether,Staked Frax Ether,4155.33,-141.12391287132687,-3.28466,4296.45,4059.92,7545.09,1147.58,01-08-25_14-13-00
turbo,Turbo,0.00457482,-0.00046122311734044,-9.15845,0.00503809,0.00444867,0.01431669,6.518e-05,01-08-25_14-13-00
qubic-network,Qubic,2.58e-06,-9.870959682e-08,-3.68876,2.77e-06,2.5e-06,1.256e-05,7.03229e-07,01-08-25_14-13-00
binance-peg-busd,Binance-Peg BUSD,1.001,0.00462419,0.4642,1.008,0.992473,1.064,0.954278,01-08-25_14-13-00
trust-wallet-token,Trust Wallet,0.740809,-0.033663982246120105,-4.34669,0.781302,0.730348,2.72,0.00277641,01-08-25_14-13-00
staked-hype,Staked HYPE,39.9,-3.8144994898255504,-8.72584,44.41,39.26,49.79,9.33,01-08-25_14-13-00
gho,GHO,0.998843,0.000663,0.06642,0.998917,0.99803,1.03,0.917065,01-08-25_14-13-00
amp-token,Amp,0.00357516,-0.000120708793153815,-3.26604,0.00372962,0.00350766,0.120813,0.00140933,01-08-25_14-13-00
dog-go-to-the-moon-rune,Dog (Bitcoin),0.00301207,-0.000242539157778555,-7.45217,0.00326959,0.00286214,0.0099237,0.00100496,01-08-25_14-13-00
popcat,Popcat,0.305746,-0.026667674695687593,-8.02243,0.335101,0.298388,2.05,0.00379728,01-08-25_14-13-00
creditcoin-2,Creditcoin,0.649743,-0.05852960654504358,-8.26371,0.708273,0.636248,8.67,0.128298,01-08-25_14-13-00
frax,Legacy Frax Dollar,0.997771,-0.001753336456637111,-0.17542,0.999581,0.997081,1.14,0.874536,01-08-25_14-13-00
